id Amikacin Capreomycin Ciprofloxacin Ethambutol Ethionamide Isoniazid Kanamycin Moxifloxacin Ofloxacin PAA Prothionamide Pyrazinamide Rifampicin Streptomycin
ERR1034833 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034834 1 1 1 1 1 1 1 1 1 2 1 1 1 2
ERR1034835 2 2 1 1 2 1 2 1 1 1 2 1 1 1
ERR1034836 1 1 1 1 2 1 1 1 1 1 1 1 1 2
ERR1034837 1 1 1 1 2 1 2 2 2 2 1 1 1 2
ERR1034838 1 1 1 1 2 2 1 1 1 1 1 1 2 2
ERR1034839 2 1 2 1 2 2 2 2 2 1 1 2 2 2
ERR1034840 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034841 1 1 1 1 2 2 1 1 1 1 1 1 2 2
ERR1034842 1 1 1 2 1 2 1 1 1 2 2 2 2 2
ERR1034843 1 1 1 1 1 2 1 1 1 1 2 1 2 2
ERR1034844 2 2 1 2 2 2 2 1 1 1 2 2 2 1
ERR1034845 1 1 1 1 2 2 1 1 1 1 1 2 2 2
ERR1034846 1 2 1 1 2 2 2 1 2 1 2 2 2 2
ERR1034848 1 1 1 1 1 2 1 1 1 1 1 1 2 2
ERR1034849 1 1 1 1 1 2 1 1 1 1 2 1 2 2
ERR1034850 1 2 1 1 2 1 2 2 2 1 1 1 1 1
ERR1034851 1 1 1 1 2 2 1 1 1 1 1 1 1 2
ERR1034852 1 2 1 2 2 2 2 1 2 2 2 2 2 2
ERR1034854 1 1 1 2 2 2 1 1 1 1 1 2 2 2
ERR1034855 2 2 2 1 2 2 2 1 2 1 1 2 2 1
ERR1034856 1 1 1 1 2 2 1 1 1 1 1 1 2 1
ERR1034857 1 1 1 1 2 2 1 1 1 1 1 2 1 1
ERR1034858 1 1 1 2 2 2 1 1 1 1 1 1 2 2
ERR1034859 1 1 2 2 2 2 2 2 2 2 2 2 2 2
ERR1034861 2 1 2 2 1 2 2 2 2 1 2 2 2 2
ERR1034862 1 1 1 1 2 2 1 1 1 1 1 1 2 2
ERR1034863 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR1034864 1 1 1 1 1 2 1 1 1 1 2 1 1 2
ERR1034865 1 1 1 1 1 2 1 1 1 1 1 1 2 2
ERR1034866 1 1 1 1 2 2 1 1 1 1 2 2 2 2
ERR1034867 1 1 1 1 2 2 2 2 2 1 1 1 2 2
ERR1034868 1 2 1 2 2 2 2 2 2 1 2 2 2 2
ERR1034869 1 1 1 1 2 2 2 2 2 1 2 1 2 2
ERR1034870 1 1 1 2 2 2 2 1 2 2 1 2 2 2
ERR1034871 1 2 1 2 2 2 2 1 2 1 2 2 2 2
ERR1034872 1 1 2 1 2 1 1 2 2 1 1 1 1 1
ERR1034873 2 2 2 1 2 1 2 2 2 1 1 1 1 1
ERR1034874 2 2 1 1 2 2 2 1 1 1 2 2 2 2
ERR1034875 1 1 1 1 1 1 1 1 1 1 1 1 2 1
ERR1034876 1 1 1 1 2 2 1 1 1 1 2 2 2 2
ERR1034877 1 1 1 1 2 1 1 1 1 1 1 1 1 2
ERR1034878 1 2 1 1 2 1 1 1 2 2 1 1 1 1
ERR1034879 2 2 2 2 2 2 1 1 1 2 1 1 2 2
ERR1034880 1 1 1 1 1 2 1 1 1 1 1 2 2 2
ERR1034881 1 1 1 2 2 2 1 1 1 1 2 2 2 2
ERR1034882 1 1 1 1 2 2 1 1 1 1 2 2 2 2
ERR1034883 1 1 1 1 2 2 1 1 1 1 1 2 2 2
